student_id,baseline_score,followup_score,change
966,67.2,77.0,9.8
967,65.1,70.7,5.6
968,54.0,51.7,-2.3
969,73.8,51.2,-22.6
970,63.7,70.6,6.9
971,81.0,87.4,6.4
972,67.2,44.6,-22.6
973,77.8,59.3,-18.5
974,64.7,55.2,-9.5
975,93.6,75.4,-18.2
976,53.6,82.4,28.8
977,34.2,34.5,0.3
978,88.3,91.2,2.9
979,62.0,90.1,28.1
980,53.4,69.7,16.3
981,59.4,78.4,19.0
982,60.9,59.3,-1.6
983,72.6,54.3,-18.3
984,71.5,66.8,-4.7
985,64.0,62.5,-1.5
986,72.3,48.9,-23.4
987,66.8,100.0,33.2
988,71.5,74.1,2.6
989,100.0,100.0,0.0
990,85.4,65.6,-19.8
991,93.1,96.0,2.9
992,52.3,57.5,5.2
993,78.8,80.0,1.2
994,65.6,63.7,-1.9
995,70.8,65.7,-5.1
996,81.1,72.0,-9.1
997,64.7,98.1,33.4
998,52.1,69.1,17.0
999,78.8,59.1,-19.7
1000,78.7,79.9,1.2
1001,74.2,58.6,-15.6
1002,62.2,38.0,-24.2
1003,37.9,51.1,13.2
1004,76.9,86.0,9.1
1005,37.9,64.9,27.0
1006,70.7,58.9,-11.8
1007,86.7,71.7,-15.0
1008,3.5,62.5,59.0
1009,84.1,71.4,-12.7
1010,77.7,71.0,-6.7
1011,59.5,73.1,13.6
1012,73.0,90.7,17.7
1013,80.6,91.2,10.6
1014,60.3,37.7,-22.6
1015,66.2,47.8,-18.4
1016,76.0,83.7,7.7
1017,83.2,83.6,0.4
1018,86.8,55.3,-31.5
1019,60.9,65.4,4.5
1020,58.9,76.7,17.8
1021,90.6,88.6,-2.0
1022,78.6,80.4,1.8
1023,82.2,62.8,-19.4
1024,68.1,63.1,-5.0
1025,66.9,85.8,18.9
1026,73.8,77.9,4.1
1027,66.3,62.4,-3.9
1028,63.6,75.7,12.1
1029,88.5,99.4,10.9
1030,40.1,71.6,31.5
1031,91.1,58.4,-32.7
1032,99.6,75.8,-23.8
1033,80.4,71.8,-8.6
1034,69.6,66.2,-3.4
1035,58.7,58.4,-0.3
1036,92.9,91.2,-1.7
1037,75.2,91.0,15.8
1038,88.9,47.3,-41.6
1039,69.7,56.5,-13.2
1040,81.4,82.1,0.7
1041,87.4,69.5,-17.9
1042,76.5,73.1,-3.4
1043,46.1,53.0,6.9
1044,50.7,65.6,14.9
1045,63.7,72.9,9.2
1046,73.7,64.4,-9.3
1047,75.9,71.9,-4.0
1048,89.2,84.5,-4.7
1049,80.2,66.0,-14.2
1050,76.6,83.3,6.7
1051,53.9,69.8,15.9
1052,79.4,61.0,-18.4
1053,53.6,49.3,-4.3
1054,95.5,93.3,-2.2
1055,98.3,95.9,-2.4
1056,80.6,83.5,2.9
1057,78.5,75.0,-3.5
1058,92.7,87.8,-4.9
1059,93.1,83.9,-9.2
1060,48.9,68.9,20.0
1061,57.7,59.9,2.2
1062,49.5,70.4,20.9
1063,61.8,78.0,16.2
1064,79.2,88.8,9.6
1065,78.6,87.6,9.0
1066,78.1,81.9,3.8
1067,72.8,61.5,-11.3
1068,72.9,59.9,-13.0
1069,80.1,100.0,19.9
1070,62.8,82.7,19.9
1071,71.3,77.1,5.8
1072,61.8,58.0,-3.8
1073,74.8,48.6,-26.2
1074,100.0,77.3,-22.7
1075,56.3,72.8,16.5
1076,62.2,69.5,7.3
1077,66.3,76.2,9.9
1078,90.9,95.2,4.3
1079,71.7,56.9,-14.8
1080,68.3,78.5,10.2
1081,95.9,83.8,-12.1
1082,81.1,66.1,-15.0
1083,61.2,70.1,8.9
1084,77.3,71.8,-5.5
1085,51.9,68.1,16.2
1086,74.2,72.2,-2.0
1087,68.9,67.7,-1.2
1088,91.6,80.6,-11.0
1089,63.2,80.0,16.8
1090,59.3,63.9,4.6
1091,51.9,69.6,17.7
1092,78.2,77.7,-0.5
1093,69.9,92.7,22.8
1094,68.7,56.5,-12.2
1095,60.2,88.7,28.5
1096,83.7,63.6,-20.1
1097,99.8,70.2,-29.6
1098,100.0,73.2,-26.8
1099,49.0,75.0,26.0
1100,80.0,84.6,4.6
1101,61.3,46.1,-15.2
1102,100.0,56.4,-43.6
1103,67.6,67.6,0.0
1104,64.5,45.8,-18.7
1105,70.9,56.4,-14.5
1106,54.0,55.5,1.5
1107,46.2,70.2,24.0
1108,56.0,79.0,23.0
1109,100.0,77.9,-22.1
1110,80.5,93.2,12.7
1111,79.6,62.5,-17.1
1112,49.8,72.2,22.4
1113,55.6,75.7,20.1
1114,81.9,70.6,-11.3
1115,70.7,84.1,13.4
1116,83.0,79.3,-3.7
1117,53.5,71.1,17.6
1118,99.8,100.0,0.2
1119,71.2,70.6,-0.6
1120,68.0,57.1,-10.9
1121,66.8,38.4,-28.4
1122,56.5,58.7,2.2
1123,85.4,71.0,-14.4
1124,60.3,70.3,10.0
1125,71.2,65.1,-6.1
1126,37.9,80.4,42.5
1127,50.2,50.8,0.6
1128,88.9,42.2,-46.7
1129,87.5,66.4,-21.1
1130,95.4,80.4,-15.0
1131,78.8,100.0,21.2
1132,63.7,61.3,-2.4
1133,61.9,51.1,-10.8
1134,62.5,68.3,5.8
1135,100.0,87.8,-12.2
1136,79.8,48.9,-30.9
1137,75.4,52.9,-22.5
1138,90.1,79.9,-10.2
1139,81.3,80.1,-1.2
1140,77.0,94.5,17.5
1141,35.7,49.7,14.0
1142,83.4,83.3,-0.1
1143,74.0,74.6,0.6
1144,44.4,58.9,14.5
1145,52.9,58.6,5.7
1146,96.0,76.1,-19.9
1147,85.8,100.0,14.2
1148,78.9,70.1,-8.8
1149,47.8,39.5,-8.3
1150,74.4,70.2,-4.2
1151,70.3,78.8,8.5
1152,66.7,78.2,11.5
1153,79.1,79.6,0.5
1154,61.9,57.0,-4.9
1155,64.7,83.9,19.2
1156,87.5,90.0,2.5
1157,92.0,78.5,-13.5
1158,43.6,55.8,12.2
1159,64.5,72.1,7.6
1160,47.8,67.0,19.2
1161,88.5,70.2,-18.3
1162,95.9,79.6,-16.3
1163,54.3,49.6,-4.7
1164,95.3,62.5,-32.8
1165,69.8,60.3,-9.5
1166,60.4,75.1,14.7
1167,80.1,86.8,6.7
1168,81.8,100.0,18.2
1169,76.6,65.9,-10.7
1170,51.7,65.2,13.5
1171,60.9,67.4,6.5
1172,61.7,81.2,19.5
1173,77.8,81.7,3.9
1174,46.8,71.1,24.3
1175,77.5,62.4,-15.1
1176,36.4,46.1,9.7
1177,67.6,64.1,-3.5
1178,64.9,83.1,18.2
1179,63.9,68.3,4.4
1180,89.8,64.4,-25.4
1181,39.8,79.1,39.3
1182,73.6,58.5,-15.1
1183,77.3,55.5,-21.8
1184,97.3,94.4,-2.9
1185,55.0,71.7,16.7
1186,76.6,79.2,2.6
1187,69.5,72.9,3.4
1188,75.8,49.2,-26.6
1189,88.1,57.6,-30.5
1190,100.0,94.5,-5.5
1191,87.9,96.8,8.9
1192,56.4,60.1,3.7
1193,65.5,65.9,0.4
1194,45.5,67.9,22.4
1195,71.3,63.9,-7.4
1196,63.4,91.2,27.8
1197,72.5,88.7,16.2
1198,36.3,56.3,20.0
1199,90.6,98.1,7.5
1200,75.7,93.0,17.3
